load,proposed,baseline,baseline_paper_name,metric,direction,paired_seeds,arm_minus_baseline_mean,ci95_low,ci95_high,wins,losses,ties
mid,combo_s1_j1,phasec,WM-Base,stall_ratio_mean,lower,10,-0.00244,-0.030193,0.022096,6,4,0
mid,combo_s1_j1,phasec,WM-Base,stall_ratio_max,lower,10,-0.045833,-0.147917,0.022916,5,4,1
mid,combo_s1_j1,phasec,WM-Base,deadlock_ratio_mean,lower,10,0.046005,-0.13897,0.22704,4,6,0
mid,combo_s1_j1,phasec,WM-Base,deadlock_ratio_max,lower,10,0.041667,-0.208333,0.260416,2,5,3
mid,combo_s1_j1,phasec,WM-Base,congestion_events,lower,10,71.0,-288.9,411.4,4,6,0
mid,combo_s1_j1,phasec,WM-Base,severe_events,lower,10,51.2,-306.3,409.6,5,5,0
mid,combo_s1_j1,phasec,WM-Base,risk_rate_per_100,lower,10,4.73335,-19.25999,27.42669,4,6,0
mid,combo_s1_j1,phasec,WM-Base,assignment_time_ms_mean,lower,10,2.97208,-21.06294,28.82941,4,6,0
mid,combo_s1_j1,phasec,WM-Base,wall_time_s,lower,10,-14.89,-170.435,135.212,4,6,0
high,combo_s1_j1,greedy,Greedy,completed_orders,higher,10,29.2,1.2,66.4,7,2,1
high,combo_s1_j1,greedy,Greedy,completed_tasks,higher,10,98.7,-57.5,301.7,3,7,0
high,combo_s1_j1,greedy,Greedy,avg_task_duration,lower,10,-1.130967,-1.674702,-0.599734,9,1,0
high,combo_s1_j1,greedy,Greedy,avg_excess_delay,lower,10,-0.902479,-1.320829,-0.476866,8,2,0
high,combo_s1_j1,greedy,Greedy,open_order_count,lower,10,-29.2,-66.4,-1.2,7,2,1
high,combo_s1_j1,greedy,Greedy,pending_order_count,lower,10,-26.5,-61.6,-0.9,6,3,1
high,combo_s1_j1,greedy,Greedy,stall_ratio_mean,lower,10,0.003518,-0.003799,0.011444,5,5,0
high,combo_s1_j1,greedy,Greedy,stall_ratio_max,lower,10,0.0125,-1e-06,0.025,2,6,2
high,combo_s1_j1,greedy,Greedy,deadlock_ratio_mean,lower,10,-0.066697,-0.160154,0.004221,4,6,0
high,combo_s1_j1,greedy,Greedy,deadlock_ratio_max,lower,10,-0.20625,-0.439584,0.004167,5,4,1
high,combo_s1_j1,greedy,Greedy,congestion_events,lower,10,-122.7,-272.3,6.4,6,4,0
high,combo_s1_j1,greedy,Greedy,severe_events,lower,10,-142.8,-324.9,6.5,4,5,1
high,combo_s1_j1,greedy,Greedy,risk_rate_per_100,lower,10,-8.18,-18.15334,0.42668,6,4,0
high,combo_s1_j1,greedy,Greedy,wall_time_s,lower,10,229.275,164.078,301.977,0,10,0
high,combo_s1_j1,phasec,WM-Base,completed_orders,higher,10,76.6,-0.4,187.6,5,4,1
high,combo_s1_j1,phasec,WM-Base,completed_tasks,higher,10,318.7,-4.0,772.9,7,3,0
high,combo_s1_j1,phasec,WM-Base,avg_task_duration,lower,10,0.181826,-0.5398,1.071077,7,3,0
high,combo_s1_j1,phasec,WM-Base,avg_excess_delay,lower,10,0.183348,-0.539605,1.059064,7,3,0
high,combo_s1_j1,phasec,WM-Base,open_order_count,lower,10,-76.6,-187.6,0.4,5,4,1
