map_size,robot_density,num_robots,load,arm,n,completed_orders_mean,completed_orders_ci_low,completed_orders_ci_high,avg_excess_delay_mean,avg_excess_delay_ci_low,avg_excess_delay_ci_high,deadlock_ratio_mean_mean,deadlock_ratio_mean_ci_low,deadlock_ratio_mean_ci_high,risk_rate_per_100_mean,risk_rate_per_100_ci_low,risk_rate_per_100_ci_high
20,0.12,48,high,combo_s1_j1,10,386.3,252.18629770426776,520.4137022957323,29.430050175941997,24.44164302451621,34.41845732736778,0.3223238,0.07921352833060438,0.5654340716693956,47.88001,24.95985160652042,70.80016839347958
20,0.12,48,high,greedy,10,369.5,251.62771838674735,487.37228161325265,31.870589889763867,28.029369988544083,35.71180979098365,0.3619625,0.15743812966107776,0.5664868703389223,55.08665,38.62401683584141,71.5492831641586
20,0.12,48,high,hungarian,10,309.2,213.62803178876527,404.7719682112347,30.313801987525032,26.797990653859205,33.82961332119086,0.4682597,0.301215610360231,0.6353037896397691,66.58665,51.96037827137855,81.21292172862145
20,0.12,48,high,jsq,10,400.2,286.1465913614745,514.2534086385255,30.762914920585242,27.80618257088797,33.719647270282515,0.2959403,0.09334499409140781,0.49853560590859214,47.88668,28.42241812921725,67.35094187078275
20,0.12,48,high,phasec,10,379.0,246.71806160435264,511.28193839564733,29.821064266551314,25.06786932241682,34.57425921068581,0.3412583,0.0968711716691158,0.5856454283308843,49.10667,25.34464410448618,72.86869589551382
20,0.12,48,low,combo_s1_j1,10,312.9,184.36184480614315,441.4381551938568,24.617168985359218,20.115683480929157,29.11865448978928,0.3890541,0.11615593949049358,0.6619522605095065,48.29334,18.986608176270764,77.60007182372924
20,0.12,48,low,greedy,10,295.4,158.87769591356164,431.9223040864383,26.76884443776551,22.124951520306997,31.41273735522402,0.4701931,0.21900005012710033,0.7213861498728996,58.95333,36.742868999199885,81.16379100080012
20,0.12,48,low,hungarian,10,403.4,342.1059760790453,464.69402392095463,26.376431127572765,22.587745356929805,30.165116898215725,0.0775209,-0.02689315322593959,0.1819349532259396,15.826649999999999,2.239861592954629,29.41343840704537
20,0.12,48,low,jsq,10,320.7,201.72159605028412,439.67840394971586,26.119678872209906,22.395278295290574,29.84407944912924,0.3672472,0.11739789139103615,0.6170965086089638,46.40668,20.488186429896636,72.32517357010337
20,0.12,48,low,phasec,10,370.8,253.43165503219504,488.16834496780496,26.424362144236984,21.851553017115634,30.997171271358333,0.2008722,-0.048862249530784524,0.45060664953078455,29.106659999999998,3.999056911748209,54.21426308825178
