map_size,arm,n_runs,completed_orders_mean,completed_orders_ci_low,completed_orders_ci_high,avg_excess_delay_mean,avg_excess_delay_ci_low,avg_excess_delay_ci_high,deadlock_ratio_mean_mean,deadlock_ratio_mean_ci_low,deadlock_ratio_mean_ci_high,risk_rate_per_100_mean,risk_rate_per_100_ci_low,risk_rate_per_100_ci_high
20,greedy,90,337.0555555555556,285.52222222222224,388.8447222222223,29.231340354665743,27.436317109802065,30.945811597218015,0.4101872000000001,0.31482201083333333,0.5045022227777778,58.06296111111111,48.35331375,67.57220083333334
20,hungarian,90,351.03333333333336,314.3777777777778,387.22222222222223,30.712895996773177,29.367263030886306,32.06376696891422,0.3605968666666667,0.29991438916666663,0.42380824444444454,54.37554888888889,48.36663933333333,60.57119497222223
20,jsq,90,341.0222222222222,294.1666666666667,387.1450000000001,28.38207650951459,26.81627952735106,29.91697020381218,0.3869990555555555,0.29932966055555554,0.4781827919444444,54.661484444444454,45.12587772222223,64.39779944444444
20,phasec,90,353.40000000000003,314.755,391.90000000000003,28.333714520253444,26.702440149723433,29.886977913528884,0.3520044222222222,0.2883486247222222,0.41584886888888895,51.79556,45.94072475,57.76966933333334
20,combo_s1_j1,90,339.83333333333337,297.2777777777778,381.41138888888895,27.042934395727034,25.455716386397004,28.61118945486821,0.3784148777777778,0.2969672016666667,0.4604086861111112,53.81259666666667,45.06061594444444,62.38150394444445
30,greedy,90,285.0666666666667,264.8777777777778,305.4111111111111,49.56151243272781,45.30493012659147,54.015366561866756,0.48758117777777776,0.42429285944444445,0.5449152344444445,79.63185222222224,71.00722377777777,87.05703333333334
30,hungarian,90,276.4222222222222,251.94416666666663,300.6444444444444,48.283736761954835,43.54246741232435,53.30850625673058,0.5077843111111112,0.4571999516666667,0.5564698436111113,82.51037222222223,76.315499,87.67853861111112
30,jsq,90,289.03333333333336,268.9666666666667,308.9558333333334,49.7647544920412,45.77104756327152,53.79981635790751,0.4827425666666666,0.4213831866666667,0.5375404938888888,80.0281488888889,71.38072155555554,87.34964847222223
30,phasec,90,307.7222222222223,288.38861111111106,327.3222222222222,45.14186588806963,40.97979892526349,50.374110461321756,0.4253297666666668,0.38409420111111114,0.46471921916666664,73.5933388888889,69.67850369444444,77.39409963888889
30,combo_s1_j1,90,322.2888888888889,303.47777777777776,340.5888888888889,41.74308604956802,38.91287776395318,44.735259268264564,0.40421880000000004,0.3572708480555556,0.4489050652777778,70.55852222222224,64.26220822222221,76.33409624999999
40,greedy,90,299.94444444444446,280.0444444444444,319.4,60.34432712495727,51.53930589851199,69.45410877546085,0.3985689777777777,0.3431230080555555,0.45021875833333336,75.73037000000001,66.41479811111111,83.60744477777779
40,hungarian,90,283.7444444444444,263.73333333333335,303.7,61.854996378028105,53.93310491378977,69.7804946426569,0.42839794444444446,0.3760797983333333,0.47543123861111114,78.58296444444444,70.43776369444443,85.32223975
40,jsq,90,290.96666666666664,269.27777777777777,312.2555555555556,61.00692965146246,52.15138011729571,69.95354323973181,0.40975084444444454,0.35171513000000004,0.46310075611111107,75.86370333333333,66.73999888888889,83.6874621388889
40,phasec,90,343.2444444444444,323.0888888888889,363.0002777777778,45.51124904116302,41.748289258105665,49.41471157015134,0.2795543111111111,0.2426193852777778,0.31915425694444444,62.447407777777784,56.72963105555556,68.01262930555556
40,combo_s1_j1,90,361.8222222222223,340.53305555555556,382.68888888888887,42.34303421080149,39.187981773999965,45.671555517542565,0.24707567777777778,0.20417193444444443,0.28923701638888893,55.25185444444445,46.797021388888886,63.24074227777778
