variant,load,seed,arm,ticks,action_route_encoding,all_idle_candidate_contexts,all_idle_candidates_per_context_mean,all_idle_candidates_scored,assign_calls,assignment_time_ms_mean,avg_excess_delay,avg_excess_delay_label,avg_task_duration,bottleneck_CVaR,completed_order_flow_time_p95,completed_orders,completed_orders_delta_sum,completed_orders_per_congestion_event,completed_orders_per_severe_event,completed_tasks,completion_fraction,congestion_events,deadlock_ratio_max,deadlock_ratio_mean,decision_contexts_total,energy_candidates_per_context,energy_conv_active_contexts,energy_conv_active_rate,energy_conv_contexts,energy_conv_gate_g_mean,energy_conv_modified_decision_rate,energy_conv_modified_decisions,energy_conv_signal_selected_mean,energy_conv_v_state_mean,energy_conv_warmup_contexts,energy_conv_z_base_selected_mean,energy_conv_z_delta_selected_mean,energy_drift_signal,energy_noop_best_action_score_mean,energy_noop_contexts,energy_noop_cost_mean,energy_noop_deferred,energy_noop_rate,energy_noop_score_mean,energy_potential_mean,energy_score_mean,energy_scoring_candidates,energy_scoring_contexts,energy_scoring_mode,energy_service_relief_mean,fallback_greedy_calls,fallback_greedy_ratio,final_backlog_fraction,final_backlog_total,handoff_ratio_max,handoff_ratio_mean,long_risk_schema_version,model_assign_calls,model_inference_calls,model_inference_time_ms_mean,num_agents,online_robot_candidate_scope,open_order_age_p95,open_order_count,order_arrival_count,order_arrival_manifest_schema_version,order_arrival_replayed,pending_order_age_p95,pending_order_count,psi_dispatch_age_mean,psi_dispatch_attention_added,psi_dispatch_backlog_mean,psi_dispatch_changed_positions,psi_dispatch_contexts_seen,psi_dispatch_e_demand_modified,psi_dispatch_encoder_contract_verified,psi_dispatch_eval_calls,psi_dispatch_eval_time_ms_mean,psi_dispatch_hard_gate_added,psi_dispatch_head_loaded,psi_dispatch_j_mean,psi_dispatch_mode,psi_dispatch_no_assign_added,psi_dispatch_proposal_calls,psi_dispatch_reordered_calls,psi_dispatch_replacement_calls,psi_dispatch_replacement_count,psi_dispatch_requested_budget_mean,psi_dispatch_robot_scorer,psi_dispatch_robot_scorer_variant,psi_dispatch_s1_within_context,psi_dispatch_schema_version,psi_dispatch_service_debt_mean,psi_dispatch_service_mean,psi_dispatch_superset_size_mean,psi_dispatch_trace_dropped,psi_dispatch_trace_records,psi_dispatch_traffic_mean,psi_dispatch_unique_stations_mean,risk_guard_fallback,risk_guard_filtered,risk_max_count,risk_max_max,risk_max_mean,risk_max_min,risk_max_p50,risk_max_p90,risk_max_p95,risk_max_p99,risk_rate_per_100,severe_events,stall_ratio_max,stall_ratio_mean,station_admission_mode,station_capacity_rejections,station_max_committed_load,station_max_occupancy,station_pressure,unified_risk,wait_or_stall,wall_time_s,warmup_defer_calls,wm_label_cost
map20_r48_s4,low,928,ComboS1J1,1500,canonical_bfs_service_cell_v1,495,9.5172,4711,1500,124.5668,26.933860531991375,2.6255,40.65923795830338,0.1352,167.3,319,319.0,0.353659,0.365826,1391,0.715247,902,0.979167,0.452264,495,0.0,199,0.402,495,0.409178,0.0061,3,0.699375,10.908887,50,-1.900646,0.213058,combo,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,495,conversion,0.0,0,0.0,0.482063,215.0,0.083333,0.004722,long_risk_6d_quantile_combo_v2,1497,4711,24.7958,48,all_idle,870.3,127,446,layer5_order_arrival_manifest_v1,True,547.75,88,0.5859591485356264,False,0.6393781870092746,2531,3717,False,True,831,24.50234717414877,False,True,-0.1717962878194667,j_ascending,False,1497,466,17,17,5.0160320641282565,WorldModelTaskAssigner.select_robots_unmodified,s1_within_context,True,phase_c_psi_dispatch_v1,0.6126686677724493,0.5590219186463077,2.4829659318637276,0,0,0.32272284125965833,1.8146811070998796,0,0,4711,1.071273,0.472427,0.027872,0.444187,0.87301,0.930558,1.002702,60.1333,872,0.1875,0.086917,physical_only_legacy,21268,19,7,2.5192,1.0,0.0869,970.92,3,4.7944
map20_r48_s4,low,929,Greedy,1500,,,,,,,31.057754010695188,2.9609,45.08983957219251,0.1294,157.8,405,405.0,0.634796,0.667216,1870,0.859873,638,0.895833,0.270167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214437,101.0,0.104167,0.00575,,,,,48,,583.75,66,471,layer5_order_arrival_manifest_v1,False,216.5,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5333,607,0.208333,0.075181,physical_only_legacy,11776,20,7,1.8932,1.0,0.0752,586.35,,4.6316
map20_r48_s4,low,929,Hungarian,1500,,,,,,,25.26979865771812,2.4676,39.36241610738255,0.1007,133.55,148,148.0,0.11464,0.115355,745,0.314225,1291,1.0,0.739292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.312102,618.0,0.104167,0.001639,,,,,48,,1211.9,323,471,layer5_order_arrival_manifest_v1,True,1036.5,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.0667,1283,0.1875,0.128306,physical_only_legacy,34597,17,7,3.4066,1.0,0.1283,1222.05,,5.1661
map20_r48_s4,low,929,JSQ,1500,,,,,,,28.70909090909091,2.7822,42.43475935828877,0.1353,149.0,410,410.0,0.711806,0.764925,1870,0.870488,576,0.854167,0.245736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191083,90.0,0.0625,0.003917,,,,,48,,585.0,61,471,layer5_order_arrival_manifest_v1,True,292.0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.4,536,0.145833,0.039486,physical_only_legacy,12276,16,7,1.8099,1.0,0.0395,296.26,,4.4709
map20_r48_s4,low,929,PhaseC,1500,canonical_bfs_service_cell_v1,686,13.898,9534,1500,190.2917,30.19047619047619,2.9434,44.192439862542955,0.1344,148.0,463,463.0,8.267857,22.047619,2037,0.983015,56,0.104167,0.011694,686,,,,,,,,,,,,,combo,,,,,,,,,,,off,,0,0.0,0.016985,8.0,0.083333,0.004056,long_risk_6d_quantile_combo_v2,1497,9534,24.9478,48,all_idle,44.75,8,471,layer5_order_arrival_manifest_v1,True,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,9534,1.022232,0.378728,0.022489,0.347011,0.680362,0.784087,0.948819,3.7333,21,0.145833,0.013667,physical_only_legacy,1223,16,7,1.0542,1.0,0.0137,358.63,3,4.1469
map20_r48_s4,low,929,ComboS1J1,1500,canonical_bfs_service_cell_v1,691,14.8075,10232,1500,212.2855,28.736456808199122,2.847,42.82967301122499,0.1352,139.0,462,462.0,5.703704,9.625,2049,0.980892,81,0.145833,0.012972,691,0.0,132,0.191,691,0.197426,0.0101,7,0.62969,7.321972,50,-2.326344,0.223617,combo,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,691,conversion,0.0,0,0.0,0.019108,9.0,0.083333,0.003361,long_risk_6d_quantile_combo_v2,1497,10232,24.8443,48,all_idle,48.0,9,471,layer5_order_arrival_manifest_v1,True,0.0,0,0.032146864316712966,False,0.21837372189178142,62,803,False,True,506,24.871069175953213,False,True,0.09078518815180821,j_ascending,False,1497,19,4,4,15.511022044088177,WorldModelTaskAssigner.select_robots_unmodified,s1_within_context,True,phase_c_psi_dispatch_v1,0.12526029310424736,0.22063590365358782,0.5364061456245826,0,0,0.21145505885852228,1.0632411067193677,0,0,10232,1.068829,0.360795,-0.002494,0.320692,0.670362,0.778765,0.913521,5.4,48,0.166667,0.011861,physical_only_legacy,1274,15,7,0.9894,1.0,0.0119,371.71,3,4.0653
map20_r48_s4,low,930,Greedy,1500,,,,,,,25.690705128205128,2.4774,40.00961538461539,0.1356,166.8,137,137.0,0.103945,0.104103,624,0.380556,1318,1.0,0.772569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.147222,413.0,0.104167,0.002319,,,,,48,,1319.5,223,360,layer5_order_arrival_manifest_v1,False,905.5,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.8667,1316,0.1875,0.130722,physical_only_legacy,36554,16,7,3.5767,1.0,0.1307,1012.99,,5.2934
map20_r48_s4,low,930,Hungarian,1500,,,,,,,22.06390977443609,2.5141,36.14724310776943,0.1462,121.3,348,348.0,4.296296,9.942857,1596,0.966667,81,0.166667,0.007389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033333,12.0,0.083333,0.001764,,,,,48,,62.25,12,360,layer5_order_arrival_manifest_v1,True,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,35,0.145833,0.008083,physical_only_legacy,551,16,7,0.693,1.0,0.0081,36.22,,3.7578
map20_r48_s4,low,930,JSQ,1500,,,,,,,22.543178973717147,2.5976,36.5819774718398,0.1352,123.0,350,350.0,5.737705,7.777778,1598,0.972222,61,0.208333,0.007708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027778,10.0,0.0625,0.002208,,,,,48,,53.25,10,360,layer5_order_arrival_manifest_v1,True,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0667,45,0.125,0.008806,physical_only_legacy,601,16,7,0.678,1.0,0.0088,43.52,,3.7818
map20_r48_s4,low,930,PhaseC,1500,canonical_bfs_service_cell_v1,324,7.3117,2369,1500,51.7255,22.710045662100455,2.2555,37.5662100456621,0.139,194.0,193,193.0,0.146657,0.148805,876,0.536111,1316,0.979167,0.686111,324,,,,,,,,,,,,,combo,,,,,,,,,,,off,,0,0.0,0.833333,300.0,0.0625,0.000889,long_risk_6d_quantile_combo_v2,1497,2369,25.0935,48,all_idle,1352.8,167,360,layer5_order_arrival_manifest_v1,True,709.0,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2369,1.114809,0.459618,-0.023272,0.370322,0.928774,0.976865,1.039435,87.7333,1297,0.166667,0.110792,physical_only_legacy,31654,14,7,3.1026,1.0,0.1108,1123.92,3,4.9289
