variant,load,seed,arm,ticks,assignment_time_ms_mean,avg_excess_delay,avg_task_duration,completed_orders,completed_tasks,congestion_events,deadlock_ratio_max,deadlock_ratio_mean,open_order_count,pending_order_count,risk_rate_per_100,severe_events,stall_ratio_max,stall_ratio_mean,wall_time_s
map20_r48_s6,low,724,hungarian,1500,,24.791551246537395,38.32340720221607,658,2888,25,0.125,0.008653,27,0,1.6667,12,0.166667,0.015431,51.91
map20_r48_s6,low,725,hungarian,1500,,22.566341670199236,36.06146672318779,550,2359,110,0.270833,0.015778,10,0,7.3333,94,0.145833,0.016708,52.77
map20_r48_s6,low,726,hungarian,1500,,22.79604743083004,35.790513833992094,356,2530,609,0.854167,0.215806,322,299,40.6,577,0.145833,0.041944,282.09
map20_r48_s6,low,727,hungarian,1500,,23.490189208128943,36.6583742116328,667,2854,72,0.270833,0.013125,38,1,4.8,33,0.145833,0.017444,56.57
map20_r48_s6,low,728,hungarian,1500,,20.791424418604652,34.205668604651166,328,1376,1014,1.0,0.573472,401,359,67.6,999,0.229167,0.128361,776.96
map20_r48_s6,low,729,hungarian,1500,,20.318918918918918,33.55513513513514,403,1850,823,0.958333,0.402028,325,302,54.8667,823,0.166667,0.053653,440.44
map20_r48_s6,low,730,hungarian,1500,,22.742866964592643,36.06531454107941,676,2909,70,0.208333,0.008014,27,0,4.6667,33,0.229167,0.017847,63.53
map20_r48_s6,mid,721,hungarian,1500,,20.436860068259385,33.137087599544934,369,1758,286,0.458333,0.0525,13,0,19.0667,269,0.3125,0.025014,280.53
map20_r48_s6,mid,722,hungarian,1500,,22.788575180564674,36.00196979645437,704,3046,29,0.1875,0.006486,33,0,1.9333,11,0.125,0.016792,53.66
map20_r48_s6,mid,723,hungarian,1500,,16.962906504065042,30.1859756097561,414,1968,25,0.145833,0.002944,12,0,1.6667,21,0.104167,0.007431,43.7
map20_r48_s6,mid,724,hungarian,1500,,22.28304451240231,35.608222901800886,701,2943,191,0.520833,0.049153,52,12,12.7333,183,0.166667,0.025347,124.76
