load,seed,policy,lock_onset_tick,lock_onset_tick_share_0_9,collapse_tick,lead_time,collapse_detected,paper_collapsed,completed_orders,deadlock_ratio_mean
high,922,Greedy,140.0,250.0,520.0,380.0,True,True,145.0,0.768
high,923,Greedy,160.0,170.0,,,False,False,526.0,0.089403
high,924,Greedy,220.0,230.0,600.0,380.0,True,True,124.0,0.763736
high,925,Greedy,70.0,390.0,690.0,620.0,True,True,191.0,0.684972
high,926,Greedy,170.0,200.0,870.0,700.0,True,True,277.0,0.548736
high,927,Greedy,100.0,150.0,,,False,False,525.0,0.100347
high,928,Greedy,450.0,540.0,800.0,350.0,True,True,281.0,0.534653
high,929,Greedy,410.0,890.0,1150.0,740.0,True,False,384.0,0.340722
high,930,Greedy,300.0,440.0,920.0,620.0,True,True,223.0,0.606583
high,931,Greedy,320.0,1220.0,,,False,False,508.0,0.162806
high,932,Greedy,150.0,640.0,800.0,650.0,True,True,272.0,0.542917
high,933,Greedy,230.0,790.0,1120.0,890.0,True,False,359.0,0.395125
high,934,Greedy,110.0,110.0,530.0,420.0,True,True,84.0,0.852472
high,935,Greedy,630.0,930.0,,,False,False,571.0,0.036764
high,936,Greedy,60.0,280.0,970.0,910.0,True,False,313.0,0.482542
high,937,Greedy,150.0,,,,False,False,525.0,0.037986
high,938,Greedy,260.0,340.0,,,False,False,525.0,0.044611
high,939,Greedy,120.0,300.0,590.0,470.0,True,True,155.0,0.731236
high,940,Greedy,560.0,1340.0,,,False,False,523.0,0.115569
high,941,Greedy,100.0,200.0,560.0,460.0,True,True,131.0,0.788931
high,942,Greedy,160.0,840.0,1120.0,960.0,True,False,331.0,0.402097
high,943,Greedy,360.0,430.0,,,False,False,518.0,0.107833
high,944,Greedy,190.0,230.0,520.0,330.0,True,True,101.0,0.790764
high,945,Greedy,460.0,480.0,1300.0,840.0,True,False,400.0,0.291194
high,946,Greedy,260.0,390.0,940.0,680.0,True,True,275.0,0.546847
high,947,Greedy,210.0,360.0,1040.0,830.0,True,False,344.0,0.404083
high,948,Greedy,140.0,160.0,570.0,430.0,True,True,93.0,0.828722
high,949,Greedy,220.0,780.0,1070.0,850.0,True,False,360.0,0.394597
