variant,arm,load,seed,map_rows,map_cols,num_robots,num_stations,robot_density,order_arrival_count,completion_fraction,completed_orders,completed_tasks,avg_task_duration,avg_excess_delay,open_order_count,pending_order_count,stall_ratio_mean,stall_ratio_max,deadlock_ratio_mean,deadlock_ratio_max,congestion_events,severe_events,risk_rate_per_100
map20_r48_s4,hungarian,low,708,20,20,48,4,0.12,356,0.9719101123595506,346,1560,36.2724358974359,22.791666666666668,10,0,0.008347,0.125,0.006139,0.166667,32,22,2.1333
map20_r48_s4,hungarian,low,709,20,20,48,4,0.12,404,0.9653465346534653,390,1839,39.85046220772159,25.750407830342578,14,0,0.010375,0.166667,0.010292,0.166667,84,69,5.6
map20_r48_s4,hungarian,low,710,20,20,48,4,0.12,374,0.9625668449197861,360,1699,36.878752207180696,23.526191877575044,14,0,0.010069,0.125,0.009708,0.166667,80,56,5.3333
map20_r48_s4,jsq,low,701,20,20,48,4,0.12,496,0.9737903225806451,483,2082,44.10422670509126,30.375600384245917,13,0,0.014111,0.145833,0.014139,0.1875,109,68,7.2667
map20_r48_s4,jsq,low,702,20,20,48,4,0.12,339,0.23303834808259588,79,418,28.648325358851675,16.019138755980862,260,227,0.221528,0.270833,0.866528,1.0,1445,1444,96.3333
map20_r48_s4,jsq,low,703,20,20,48,4,0.12,563,0.9431616341030196,531,2302,43.81754995655951,30.27150304083406,32,1,0.016236,0.208333,0.016458,0.166667,100,72,6.6667
map20_r48_s4,jsq,low,704,20,20,48,4,0.12,536,0.9514925373134329,510,2202,46.36239782016349,32.46548592188919,26,1,0.019681,0.1875,0.027944,0.25,214,138,14.2667
map20_r48_s4,jsq,low,705,20,20,48,4,0.12,470,0.851063829787234,400,1708,43.03629976580796,29.17096018735363,70,36,0.119528,0.3125,0.302806,0.895833,740,665,49.3333
map20_r48_s4,jsq,low,706,20,20,48,4,0.12,521,0.7005758157389635,365,1638,41.10378510378511,27.26251526251526,156,120,0.071194,0.25,0.33375,0.916667,656,641,43.7333
map20_r48_s4,jsq,low,707,20,20,48,4,0.12,338,0.9615384615384616,325,1540,33.04675324675325,19.4987012987013,13,0,0.01025,0.166667,0.011264,0.229167,94,80,6.2667
map20_r48_s4,jsq,low,708,20,20,48,4,0.12,356,0.4241573033707865,151,730,36.76027397260274,22.80958904109589,205,169,0.134097,0.208333,0.752625,0.979167,1342,1334,89.4667
map20_r48_s4,jsq,low,709,20,20,48,4,0.12,404,0.6089108910891089,246,1111,41.189018901890186,27.059405940594058,158,126,0.108639,0.1875,0.579514,0.979167,1084,1059,72.2667
map20_r48_s4,jsq,low,710,20,20,48,4,0.12,374,0.31283422459893045,117,576,38.82118055555556,26.26388888888889,257,223,0.117069,0.166667,0.767444,1.0,1177,1167,78.4667
map20_r48_s4,phasec,low,701,20,20,48,4,0.12,496,0.9737903225806451,483,2078,46.17661212704524,32.14388835418672,13,0,0.018556,0.145833,0.023111,0.25,240,158,16.0
map20_r48_s4,phasec,low,702,20,20,48,4,0.12,339,0.2949852507374631,100,469,32.39872068230277,19.47121535181237,239,203,0.123,0.25,0.81975,1.0,1378,1365,91.8667
map20_r48_s4,phasec,low,703,20,20,48,4,0.12,563,0.9396092362344582,529,2283,46.15024091108191,32.05475251861586,34,0,0.015625,0.145833,0.020153,0.208333,131,104,8.7333
map20_r48_s4,phasec,low,704,20,20,48,4,0.12,536,0.871268656716418,467,2000,45.276,31.4495,69,35,0.045861,0.270833,0.146667,0.916667,467,407,31.1333
map20_r48_s4,phasec,low,705,20,20,48,4,0.12,470,0.9680851063829787,455,1978,45.854398382204245,32.07229524772497,15,0,0.036917,0.291667,0.05275,0.4375,351,276,23.4
map20_r48_s4,phasec,low,706,20,20,48,4,0.12,521,0.9769673704414588,509,2171,45.56563795485951,31.67802855826808,12,0,0.021431,0.1875,0.023333,0.208333,173,134,11.5333
map20_r48_s4,phasec,low,707,20,20,48,4,0.12,338,0.1863905325443787,63,293,27.784982935153582,14.52901023890785,275,237,0.2405,0.270833,0.895736,1.0,1429,1426,95.2667
map20_r48_s4,phasec,low,708,20,20,48,4,0.12,356,0.9747191011235955,347,1552,35.50451030927835,21.807989690721648,9,0,0.009583,0.145833,0.008014,0.145833,60,34,4.0
