load,seed,branch,completed_orders,deadlock_ratio,risk_per_100,avg_excess_delay,final_backlog
high,925,Greedy,191.0,0.684972,83.0667,30.29350348027842,670.0
high,926,Greedy,277.0,0.548736,76.9333,35.304713804713806,520.0
high,927,Greedy,525.0,0.100347,48.2667,36.79818103074924,53.0
high,928,Greedy,281.0,0.534653,64.2667,29.782193958664546,529.0
high,929,Greedy,384.0,0.340722,48.3333,34.209123222748815,339.0
high,930,Greedy,223.0,0.606583,78.2667,31.679886685552407,597.0
high,931,Greedy,508.0,0.162806,36.5333,34.2247191011236,122.0
high,932,Greedy,272.0,0.542917,71.9333,30.863036303630363,546.0
high,933,Greedy,359.0,0.395125,60.7333,34.29931120851597,362.0
high,934,Greedy,84.0,0.852472,94.2667,17.813953488372093,838.0
high,935,Greedy,571.0,0.036764,22.0,36.037468776019985,45.0
high,936,Greedy,313.0,0.482542,79.6667,36.52080344332855,453.0
high,937,Greedy,525.0,0.037986,23.8,37.25900805426028,51.0
high,938,Greedy,525.0,0.044611,25.5333,37.91132795927026,45.0
high,939,Greedy,155.0,0.731236,86.6,27.517287234042552,725.0
high,940,Greedy,523.0,0.115569,28.0667,35.68921389396709,110.0
high,941,Greedy,131.0,0.788931,89.7333,23.794701986754966,786.0
high,942,Greedy,331.0,0.402097,58.1333,32.68683510638298,366.0
high,943,Greedy,518.0,0.107833,39.0667,37.367094206103495,67.0
high,944,Greedy,101.0,0.790764,87.0,21.62769784172662,789.0
high,945,Greedy,400.0,0.291194,54.9333,37.19775280898877,263.0
high,946,Greedy,275.0,0.546847,77.4,27.572956455309395,506.0
high,947,Greedy,344.0,0.404083,62.0,32.37579617834395,383.0
high,948,Greedy,93.0,0.828722,88.4667,22.50865800865801,853.0
high,949,Greedy,360.0,0.394597,55.8,31.563225412339644,376.0
high,900,Hungarian,155.0,0.753444,87.5333,26.276657060518733,779.0
high,901,Hungarian,538.0,0.0415,25.1333,36.291201429209465,23.0
high,902,Hungarian,421.0,0.0905,42.7333,36.41624828845276,197.0
high,903,Hungarian,242.0,0.556722,71.2,28.69134775374376,707.0
high,904,Hungarian,97.0,0.786875,92.3333,19.28857142857143,832.0
high,905,Hungarian,141.0,0.767194,88.0667,24.014903129657228,770.0
high,906,Hungarian,536.0,0.062097,32.7333,37.24580284115368,30.0
high,907,Hungarian,234.0,0.531667,74.4,31.229571984435797,645.0
high,908,Hungarian,264.0,0.586083,76.4667,29.601933216168717,583.0
high,909,Hungarian,207.0,0.248208,62.3333,37.8001012145749,655.0
high,910,Hungarian,109.0,0.7045,85.7333,31.585213032581454,836.0
high,911,Hungarian,267.0,0.555764,75.7333,26.350936967632027,471.0
high,912,Hungarian,372.0,0.312125,56.2667,33.90365050867744,272.0
high,913,Hungarian,429.0,0.028208,14.8,35.60513447432763,303.0
high,914,Hungarian,186.0,0.637861,84.2667,32.04303278688525,715.0
high,915,Hungarian,527.0,0.012625,3.9333,30.247224594363793,22.0
high,916,Hungarian,120.0,0.773569,89.3333,22.44264507422402,815.0
high,917,Hungarian,185.0,0.591833,76.8,29.300513698630137,786.0
high,918,Hungarian,196.0,0.673861,78.5333,30.57547169811321,637.0
high,919,Hungarian,144.0,0.822625,92.8,17.530927835051546,780.0
high,920,Hungarian,503.0,0.035347,19.0,30.999551368326603,22.0
high,921,Hungarian,191.0,0.63575,79.8,27.780621572212066,668.0
high,922,Hungarian,372.0,0.362792,54.4667,28.83375796178344,275.0
high,923,Hungarian,293.0,0.467556,58.1333,33.741366642174874,534.0
high,924,Hungarian,184.0,0.526986,69.6667,34.53906866614049,666.0
high,925,Hungarian,95.0,0.802083,92.0,28.70753064798599,868.0
high,926,Hungarian,101.0,0.762764,86.4667,32.575079872204476,885.0
high,927,Hungarian,420.0,0.264681,52.2667,33.0888090349076,277.0
high,928,Hungarian,191.0,0.502917,64.1333,34.70134730538922,720.0
high,929,Hungarian,334.0,0.339639,52.6,32.72359058565955,448.0
high,930,Hungarian,146.0,0.764208,86.8,28.04640718562874,747.0
high,931,Hungarian,337.0,0.064653,36.4667,36.90295188030732,472.0
high,932,Hungarian,246.0,0.591056,72.2667,27.82039711191336,601.0
high,933,Hungarian,150.0,0.635347,82.2667,32.05992141453831,798.0
high,934,Hungarian,501.0,0.059292,31.2667,33.8250114521301,21.0
high,935,Hungarian,290.0,0.329944,51.8,32.95452054794521,625.0
high,936,Hungarian,123.0,0.7875,87.9333,27.274061990212072,841.0
high,937,Hungarian,294.0,0.419125,63.8,33.02888318356868,530.0
high,938,Hungarian,501.0,0.056139,29.2,37.646067415730336,116.0
