label,policy,display_name,execution_device,model_device,load,seed,ticks,wall_time_s,wall_time_excluding_initialization_s,simulated_ticks_per_s,initialization_time_ms,assignment_calls,assignment_mean_ms,assignment_median_ms,assignment_p95_ms,assignment_total_ms,completed_orders,completed_tasks,model_assign_calls,model_inference_calls,fallback_greedy_calls,audit_passed
greedy,greedy,Greedy,cpu,,mid,721,1500,1346.214202576317,1346.214202576317,1.1142357561890044,0,1500,0.29547211962441605,0.16039889305830002,0.9028407279402016,443.20817943662405,156,845,,,,True
jsq,jsq,JSQ,cpu,,mid,721,1500,1308.1543044615537,1308.1543044615537,1.1466537203479306,0,1500,4.241119501491387,1.7437101341784,13.86741460300982,6361.6792522370815,169,889,,,,True
hungarian,hungarian,Hungarian,cpu,,mid,721,1500,252.11759833898395,252.11759833898395,5.94960450949235,0,1500,0.2123449184000492,0.021129846572875977,1.1465327814221382,318.5173776000738,369,1758,,,,True
proposed_cpu,proposed,Proposed,cpu,cpu,mid,721,1500,1176.468852063641,1176.442691215314,1.2750018815788058,26.160848326981068,1500,52.842760095372796,31.309633515775204,243.29611742869008,79264.1401430592,180,973,1497,3599,0,True
proposed_cuda_0,proposed,Proposed,cuda:0,cuda:0,mid,721,1500,1171.1647037332878,1171.12670648098,1.2807763034682427,37.99725230783224,1500,46.33666838457187,26.226735208183527,206.43399152904715,69505.0025768578,180,973,1497,3599,0,True
greedy,greedy,Greedy,cpu,,mid,722,1500,60.59855092968792,60.59855092968792,24.753067144137486,0,1500,1.2221409765382607,0.9545879438519478,2.9337667394429445,1833.2114648073912,701,3035,,,,True
jsq,jsq,JSQ,cpu,,mid,722,1500,52.713701823726296,52.713701823726296,28.45559974171372,0,1500,1.1006248965859413,0.78188581392169,2.9968369286507364,1650.937344878912,703,2974,,,,True
hungarian,hungarian,Hungarian,cpu,,mid,722,1500,48.74451648723334,48.74451648723334,30.772692152826348,0,1500,0.7821925462534031,0.46064378693699837,2.5703834835439916,1173.2888193801045,704,3046,,,,True
proposed_cpu,proposed,Proposed,cpu,cpu,mid,722,1500,190.1305655669421,190.10496386885643,7.889315405585709,25.601698085665703,1500,72.39383708499372,4.3822042644023895,276.7346377018839,108590.75562749058,703,2944,1497,7907,0,True
proposed_cuda_0,proposed,Proposed,cuda:0,cuda:0,mid,722,1500,183.48859888873994,183.4570199539885,8.174894838613593,31.578934751451015,1500,68.21442445119222,4.394198302179575,265.9937961027025,102321.63667678833,703,2944,1497,7907,0,True
greedy,greedy,Greedy,cpu,,mid,723,1500,1063.2957947896793,1063.2957947896793,1.410708109023135,0,1500,0.26331479536990327,0.16592023894190788,0.7865830790251489,394.97219305485487,174,808,,,,True
jsq,jsq,JSQ,cpu,,mid,723,1500,1198.5060180928558,1198.5060180928558,1.2515581710527428,0,1500,4.930230755358934,1.9694180227816105,16.42571114934981,7395.346133038402,218,1069,,,,True
hungarian,hungarian,Hungarian,cpu,,mid,723,1500,38.53307889215648,38.53307889215648,38.92759268466682,0,1500,0.25630678484837216,0.023789703845977783,1.2915377039462326,384.4601772725582,414,1968,,,,True
proposed_cpu,proposed,Proposed,cpu,cpu,mid,723,1500,375.5731811337173,375.54646433424205,3.9938953986864867,26.71679947525263,1500,120.8963056045274,2.354281023144722,639.7570740431547,181344.4584067911,414,1969,1497,15084,0,True
proposed_cuda_0,proposed,Proposed,cuda:0,cuda:0,mid,723,1500,370.92836417164654,370.8970500631258,4.043907516616543,31.31410852074623,1500,116.47411911313732,2.410890068858862,620.0396473519503,174711.178669706,414,1969,1497,15084,0,True
greedy,greedy,Greedy,cpu,,mid,724,1500,55.69359958451241,55.69359958451241,26.93307689196531,0,1500,1.2026642331232626,1.0570371523499489,2.9041343368589874,1803.996349684894,713,3026,,,,True
