campaign,variant,load,seed,arm,ticks,wall_time_s,assignment_time_ms_mean
main_50seed,map20_r48_s4,high,918,Greedy,1500,1197.67,
main_50seed,map20_r48_s4,high,918,Hungarian,1500,1169.11,
main_50seed,map20_r48_s4,high,918,JSQ,1500,862.72,
main_50seed,map20_r48_s4,high,918,PhaseC,1500,1100.6,66.2034
main_50seed,map20_r48_s4,high,918,ComboS1J1,1500,1472.8,100.7461
main_50seed,map20_r48_s4,high,919,Greedy,1500,957.06,
main_50seed,map20_r48_s4,high,919,Hungarian,1500,1122.69,
main_50seed,map20_r48_s4,high,919,JSQ,1500,376.42,
main_50seed,map20_r48_s4,high,919,PhaseC,1500,749.04,133.1689
main_50seed,map20_r48_s4,high,919,ComboS1J1,1500,454.04,151.419
main_50seed,map20_r48_s4,high,920,Greedy,1500,2054.93,
main_50seed,map20_r48_s4,high,920,Hungarian,1500,147.83,
main_50seed,map20_r48_s4,high,920,JSQ,1500,350.92,
main_50seed,map20_r48_s4,high,920,PhaseC,1500,385.44,178.6471
main_50seed,map20_r48_s4,high,920,ComboS1J1,1500,1388.91,114.5562
main_50seed,map20_r48_s4,high,921,Greedy,1500,606.97,
main_50seed,map20_r48_s4,high,921,Hungarian,1500,877.65,
main_50seed,map20_r48_s4,high,921,JSQ,1500,374.47,
main_50seed,map20_r48_s4,high,921,PhaseC,1500,451.11,72.9097
main_50seed,map20_r48_s4,high,921,ComboS1J1,1500,748.6,168.938
main_50seed,map20_r48_s4,high,922,Greedy,1500,1022.8,
main_50seed,map20_r48_s4,high,922,Hungarian,1500,475.85,
main_50seed,map20_r48_s4,high,922,JSQ,1500,509.33,
main_50seed,map20_r48_s4,high,922,PhaseC,1500,395.84,217.8817
main_50seed,map20_r48_s4,high,922,ComboS1J1,1500,402.49,222.4573
main_50seed,map20_r48_s4,high,923,Greedy,1500,220.48,
main_50seed,map20_r48_s4,high,923,Hungarian,1500,1211.14,
main_50seed,map20_r48_s4,high,923,JSQ,1500,1233.72,
main_50seed,map20_r48_s4,high,923,PhaseC,1500,971.79,42.4988
main_50seed,map20_r48_s4,high,923,ComboS1J1,1500,2233.92,102.9173
main_50seed,map20_r48_s4,high,924,Greedy,1500,1489.5,
main_50seed,map20_r48_s4,high,924,Hungarian,1500,974.47,
main_50seed,map20_r48_s4,high,924,JSQ,1500,905.26,
main_50seed,map20_r48_s4,high,924,PhaseC,1500,1363.88,41.9972
main_50seed,map20_r48_s4,high,924,ComboS1J1,1500,1201.71,103.8233
main_50seed,map20_r48_s4,high,925,Greedy,1500,1104.62,
main_50seed,map20_r48_s4,high,925,Hungarian,1500,895.91,
main_50seed,map20_r48_s4,high,925,JSQ,1500,90.99,
main_50seed,map20_r48_s4,high,925,PhaseC,1500,872.01,38.0864
main_50seed,map20_r48_s4,high,925,ComboS1J1,1500,390.37,202.7701
main_50seed,map20_r48_s4,high,926,Greedy,1500,721.86,
main_50seed,map20_r48_s4,high,926,Hungarian,1500,1131.71,
main_50seed,map20_r48_s4,high,926,JSQ,1500,2123.24,
main_50seed,map20_r48_s4,high,926,PhaseC,1500,1458.69,34.3303
main_50seed,map20_r48_s4,high,926,ComboS1J1,1500,1014.68,98.0337
main_50seed,map20_r48_s4,high,927,Greedy,1500,199.76,
main_50seed,map20_r48_s4,high,927,Hungarian,1500,581.04,
main_50seed,map20_r48_s4,high,927,JSQ,1500,1671.78,
main_50seed,map20_r48_s4,high,927,PhaseC,1500,714.5,81.8233
main_50seed,map20_r48_s4,high,927,ComboS1J1,1500,716.44,118.9073
main_50seed,map20_r48_s4,high,928,Greedy,1500,1033.83,
main_50seed,map20_r48_s4,high,928,Hungarian,1500,1413.1,
main_50seed,map20_r48_s4,high,928,JSQ,1500,153.45,
main_50seed,map20_r48_s4,high,928,PhaseC,1500,860.97,80.0378
main_50seed,map20_r48_s4,high,928,ComboS1J1,1500,378.27,192.0506
main_50seed,map20_r48_s4,high,929,Greedy,1500,751.39,
main_50seed,map20_r48_s4,high,929,Hungarian,1500,606.3,
main_50seed,map20_r48_s4,high,929,JSQ,1500,309.82,
main_50seed,map20_r48_s4,high,929,PhaseC,1500,256.89,121.8233
main_50seed,map20_r48_s4,high,929,ComboS1J1,1500,288.77,141.6661
main_50seed,map20_r48_s4,high,930,Greedy,1500,387.4,
main_50seed,map20_r48_s4,high,930,Hungarian,1500,824.26,
main_50seed,map20_r48_s4,high,930,JSQ,1500,791.14,
main_50seed,map20_r48_s4,high,930,PhaseC,1500,797.94,72.5038
main_50seed,map20_r48_s4,high,930,ComboS1J1,1500,988.65,103.1554
main_50seed,map20_r48_s4,high,931,Greedy,1500,349.49,
main_50seed,map20_r48_s4,high,931,Hungarian,1500,218.75,
main_50seed,map20_r48_s4,high,931,JSQ,1500,100.3,
main_50seed,map20_r48_s4,high,931,PhaseC,1500,859.32,38.1201
main_50seed,map20_r48_s4,high,931,ComboS1J1,1500,534.15,107.3893
main_50seed,map20_r48_s4,high,932,Greedy,1500,588.2,
main_50seed,map20_r48_s4,high,932,Hungarian,1500,771.64,
main_50seed,map20_r48_s4,high,932,JSQ,1500,694.16,
main_50seed,map20_r48_s4,high,932,PhaseC,1500,319.75,143.0835
main_50seed,map20_r48_s4,high,932,ComboS1J1,1500,1001.08,115.9794
main_50seed,map20_r48_s4,high,933,Greedy,1500,770.41,
main_50seed,map20_r48_s4,high,933,Hungarian,1500,1543.01,
main_50seed,map20_r48_s4,high,933,JSQ,1500,624.19,
main_50seed,map20_r48_s4,high,933,PhaseC,1500,859.42,68.7627
main_50seed,map20_r48_s4,high,933,ComboS1J1,1500,2008.62,107.9632
main_50seed,map20_r48_s4,high,934,Greedy,1500,1072.59,
main_50seed,map20_r48_s4,high,934,Hungarian,1500,179.73,
main_50seed,map20_r48_s4,high,934,JSQ,1500,1560.78,
main_50seed,map20_r48_s4,high,934,PhaseC,1500,1173.36,75.1798
main_50seed,map20_r48_s4,high,934,ComboS1J1,1500,824.32,128.2231
main_50seed,map20_r48_s4,high,935,Greedy,1500,129.44,
main_50seed,map20_r48_s4,high,935,Hungarian,1500,668.85,
main_50seed,map20_r48_s4,high,935,JSQ,1500,553.55,
main_50seed,map20_r48_s4,high,935,PhaseC,1500,564.72,70.7292
main_50seed,map20_r48_s4,high,935,ComboS1J1,1500,894.4,109.9602
main_50seed,map20_r48_s4,high,936,Greedy,1500,885.09,
main_50seed,map20_r48_s4,high,936,Hungarian,1500,1339.15,
main_50seed,map20_r48_s4,high,936,JSQ,1500,1235.28,
main_50seed,map20_r48_s4,high,936,PhaseC,1500,1123.23,30.8528
main_50seed,map20_r48_s4,high,936,ComboS1J1,1500,1191.49,107.7614
main_50seed,map20_r48_s4,high,937,Greedy,1500,98.23,
main_50seed,map20_r48_s4,high,937,Hungarian,1500,728.12,
main_50seed,map20_r48_s4,high,937,JSQ,1500,109.83,
main_50seed,map20_r48_s4,high,937,PhaseC,1500,1128.4,63.6444
main_50seed,map20_r48_s4,high,937,ComboS1J1,1500,257.56,114.5984
main_50seed,map20_r48_s4,high,938,Greedy,1500,110.08,
main_50seed,map20_r48_s4,high,938,Hungarian,1500,150.75,
main_50seed,map20_r48_s4,high,938,JSQ,1500,653.47,
main_50seed,map20_r48_s4,high,938,PhaseC,1500,347.99,93.7365
main_50seed,map20_r48_s4,high,938,ComboS1J1,1500,324.19,120.9005
main_50seed,map20_r48_s4,high,939,Greedy,1500,756.58,
main_50seed,map20_r48_s4,high,939,Hungarian,1500,1719.99,
main_50seed,map20_r48_s4,high,939,JSQ,1500,899.14,
main_50seed,map20_r48_s4,high,939,PhaseC,1500,1780.43,29.8765
main_50seed,map20_r48_s4,high,939,ComboS1J1,1500,1256.52,105.6383
main_50seed,map20_r48_s4,high,940,Greedy,1500,360.21,
main_50seed,map20_r48_s4,high,940,Hungarian,1500,76.56,
main_50seed,map20_r48_s4,high,940,JSQ,1500,81.26,
main_50seed,map20_r48_s4,high,940,PhaseC,1500,683.1,62.4372
main_50seed,map20_r48_s4,high,940,ComboS1J1,1500,270.28,110.0223
main_50seed,map20_r48_s4,high,941,Greedy,1500,1209.61,
main_50seed,map20_r48_s4,high,941,Hungarian,1500,68.66,
main_50seed,map20_r48_s4,high,941,JSQ,1500,1231.79,
main_50seed,map20_r48_s4,high,941,PhaseC,1500,417.78,173.4301
main_50seed,map20_r48_s4,high,941,ComboS1J1,1500,410.75,193.7168
main_50seed,map20_r48_s4,high,942,Greedy,1500,587.64,
main_50seed,map20_r48_s4,high,942,Hungarian,1500,953.72,
main_50seed,map20_r48_s4,high,942,JSQ,1500,975.75,
main_50seed,map20_r48_s4,high,942,PhaseC,1500,314.07,156.3854
main_50seed,map20_r48_s4,high,942,ComboS1J1,1500,975.71,121.9206
main_50seed,map20_r48_s4,high,943,Greedy,1500,227.72,
main_50seed,map20_r48_s4,high,943,Hungarian,1500,381.24,
main_50seed,map20_r48_s4,high,943,JSQ,1500,151.73,
main_50seed,map20_r48_s4,high,943,PhaseC,1500,866.7,42.3862
main_50seed,map20_r48_s4,high,943,ComboS1J1,1500,748.39,109.6293
main_50seed,map20_r48_s4,high,944,Greedy,1500,1410.16,
main_50seed,map20_r48_s4,high,944,Hungarian,1500,790.45,
main_50seed,map20_r48_s4,high,944,JSQ,1500,133.36,
main_50seed,map20_r48_s4,high,944,PhaseC,1500,399.96,184.6294
main_50seed,map20_r48_s4,high,944,ComboS1J1,1500,417.61,189.7162
main_50seed,map20_r48_s4,high,945,Greedy,1500,444.94,
main_50seed,map20_r48_s4,high,945,Hungarian,1500,842.11,
main_50seed,map20_r48_s4,high,945,JSQ,1500,124.45,
main_50seed,map20_r48_s4,high,945,PhaseC,1500,762.98,70.1016
main_50seed,map20_r48_s4,high,945,ComboS1J1,1500,784.55,104.5342
main_50seed,map20_r48_s4,high,946,Greedy,1500,703.84,
main_50seed,map20_r48_s4,high,946,Hungarian,1500,195.09,
main_50seed,map20_r48_s4,high,946,JSQ,1500,821.13,
